# Meteorológiai tényadatok: Budapest
# Dátum: Év
# Évi középhőmérséklet [°C]
# Évi maximum hőmérséklet [°C]
# Hőségnapok (Tx>=30°C) száma
# Évi minimumhőmérséklet [°C]
# Fagyos napok (Tn<=0°C) száma
# Meleg éjszakák (Tn>=20°C) száma
# Csapadék évi összege [mm]
# Legnagyobb napi csapadékösszeg az évben [mm]
# Havas napok száma
# Napfénytartam évi összege [óra]
# Globálsugárzás évi összege [J/cm2]
#
1901;10.8;34.0;20;-16.9;80;6;565.4;38.8;31;;
1902;10.1;32.0;10;-18.9;61;3;578.3;36.5;30;;
1903;11.4;35.2;8;-12.6;37;3;497.2;25.5;18;;
1904;11.3;35.0;26;-9.8;67;8;423.7;23.8;33;;
1905;11.0;35.0;26;-13.2;60;17;610.2;34.3;34;;
1906;11.1;33.3;15;-10.3;61;3;735.4;35.6;44;;
1907;10.7;33.0;7;-15.0;82;1;454.7;42.9;43;;
1908;10.4;35.1;13;-10.8;83;6;453.8;43.3;44;;
1909;10.9;33.9;11;-11.4;79;2;515.0;29.3;35;;
1910;11.1;34.9;11;-7.0;44;1;691.7;38.0;28;;
1911;11.1;34.1;22;-15.2;67;1;539.1;48.7;31;;
1912;9.6;33.3;7;-16.4;86;0;690.3;44.4;26;1505.2;
1913;10.2;31.2;2;-14.7;89;0;588.6;30.4;42;1627.4;
1914;9.9;33.2;10;-13.8;83;0;785.4;50.2;24;1683.8;
1915;10.5;32.3;11;-11.9;64;0;939.9;62.1;40;1686.2;
1916;11.3;34.2;14;-5.5;41;2;675.1;41.8;19;1735.1;
1917;10.6;36.4;42;-19.0;93;1;445.8;20.5;49;2084.9;
1918;10.9;35.2;20;-9.3;74;1;647.2;36.8;37;1856.7;
1919;10.3;33.6;20;-12.2;61;0;661.0;29.4;52;1967.9;
1920;11.0;34.9;26;-9.5;72;0;647.4;64.3;29;2102.2;
1921;11.3;38.7;30;-9.3;75;5;478.2;33.6;26;2238.2;
1922;9.9;36.7;29;-12.8;94;2;656.0;32.5;29;1904.6;
1923;11.3;35.1;25;-15.5;52;3;627.5;38.6;36;2020.3;
1924;10.0;34.1;17;-13.1;107;0;658.4;50.0;38;1793.7;
1925;10.7;32.2;19;-16.3;79;0;657.1;41.3;31;2017.0;
1926;11.5;31.5;6;-12.7;47;1;631.1;39.7;23;1938.6;
1927;11.0;35.2;35;-19.1;77;2;587.6;26.8;33;2098.3;
1928;11.0;38.4;48;-14.8;73;5;434.3;22.7;40;2271.6;
1929;10.0;36.8;35;-23.4;95;5;693.6;61.6;42;2213.9;
1930;11.7;34.5;37;-9.6;56;6;720.3;35.1;27;2240.8;
1931;10.4;37.4;39;-10.3;100;3;615.0;43.2;48;2299.7;
1932;10.6;35.8;48;-11.5;108;5;548.1;29.2;43;2233.7;
1933;10.1;37.2;28;-12.6;79;2;672.6;35.1;46;2083.2;
1934;12.3;35.4;21;-10.9;55;3;603.7;48.4;27;2153.1;
1935;10.8;39.5;27;-16.6;82;3;621.4;37.3;64;2277.6;
1936;11.3;37.0;25;-11.9;49;4;770.6;40.0;29;2030.7;
1937;11.3;34.7;28;-11.9;63;4;987.5;93.9;48;2008.6;
1938;11.3;35.5;30;-17.3;59;11;581.8;22.3;41;2150.6;
1939;11.3;35.8;29;-12.8;69;4;742.0;31.9;29;2002.8;
1940;8.9;32.3;5;-18.1;111;0;776.2;46.0;63;1818.0;
1941;9.9;33.4;12;-14.5;76;4;608.4;37.0;48;1824.7;
1942;10.0;34.4;34;-21.7;92;2;559.3;42.9;55;2017.1;
1943;11.4;39.0;32;-16.1;68;8;466.0;39.4;31;2209.2;
1944;10.9;33.4;22;-9.1;66;5;721.3;33.0;51;1884.1;
1945;11.3;35.9;30;-14.0;77;7;584.7;38.7;48;2142.2;
1946;11.7;37.9;48;-12.4;71;15;555.3;29.9;34;2292.9;
1947;11.6;37.3;53;-18.6;84;17;438.3;26.4;58;2096.3;
1948;11.4;36.9;25;-11.9;67;11;532.2;23.4;31;2169.1;
1949;11.9;35.3;26;-9.8;56;4;557.2;35.5;30;2259.6;
1950;12.0;38.3;48;-15.0;46;15;619.6;33.8;32;2159.5;
1951;12.2;34.4;32;-5.9;33;10;647.0;30.7;33;2022.3;
1952;11.3;38.5;41;-9.4;77;14;787.4;44.8;67;2046.5;
1953;11.4;32.9;20;-10.0;74;1;528.0;37.5;42;2108.8;
1954;10.3;35.2;27;-18.5;73;5;642.8;78.0;57;1782.4;
1955;10.5;32.1;5;-11.2;77;2;898.8;71.0;52;1748.6;
1956;9.7;33.5;15;-18.8;92;3;567.4;31.4;65;1998.5;
1957;11.2;37.2;20;-11.1;67;12;566.0;40.5;34;1971.0;
1958;11.2;35.3;25;-10.1;77;6;556.2;33.5;44;1975.6;
1959;11.3;35.5;11;-9.0;59;2;536.0;37.6;31;2035.5;
1960;11.2;34.5;12;-14.0;54;0;565.6;36.5;25;1900.3;
1961;11.9;36.7;27;-11.5;54;6;400.9;27.3;16;2201.8;
1962;10.5;34.3;24;-9.5;90;15;532.5;41.9;34;1997.9;
1963;10.4;35.4;25;-16.6;95;13;657.7;60.9;33;2050.1;
1964;10.5;34.3;22;-15.9;82;3;621.4;35.9;24;1895.5;
1965;10.0;33.9;10;-9.9;84;1;815.9;35.9;26;1958.8;
1966;11.6;32.3;12;-11.8;56;3;743.6;34.5;23;1945.0;
1967;11.6;34.0;33;-12.2;66;7;505.0;42.2;18;2141.5;
1968;11.4;37.4;19;-15.0;69;8;497.9;28.9;20;2071.7;
1969;10.9;35.0;22;-12.7;78;4;682.8;28.3;36;1847.7;
1970;10.8;32.3;17;-11.0;70;5;664.7;40.3;47;1656.9;
1971;11.4;34.4;27;-10.5;67;9;460.2;32.3;32;1812.5;
1972;11.4;34.9;18;-11.6;49;13;609.2;37.3;18;1646.4;
1973;11.4;33.0;21;-13.0;70;3;397.7;27.9;37;2011.3;
1974;11.9;35.6;22;-4.5;25;13;659.0;42.6;19;1748.1;
1975;11.9;32.0;12;-8.5;52;0;519.4;51.4;21;1874.6;
1976;11.2;34.9;17;-10.8;71;4;668.6;30.4;38;1871.5;
1977;11.6;33.6;11;-8.7;56;0;551.4;24.5;33;1954.1;
1978;10.6;32.1;4;-9.5;67;0;595.5;61.5;34;1780.9;
1979;11.7;34.9;24;-13.0;61;5;565.7;22.4;29;1988.8;
1980;10.1;33.5;8;-13.9;74;2;670.1;34.6;53;1743.1;
1981;11.5;34.5;24;-10.4;69;5;513.3;34.8;40;2056.1;
1982;11.6;33.2;19;-13.6;62;6;456.2;28.9;23;1933.8;
1983;12.2;36.6;42;-9.3;58;7;450.3;56.7;25;2142.1;
1984;11.0;35.4;13;-7.0;72;2;619.4;40.1;34;1775.1;
1985;10.5;34.5;21;-15.5;69;7;448.1;33.8;31;1956.1;
1986;11.2;33.5;26;-11.8;76;12;414.1;30.6;46;2071.3;
1987;10.7;35.3;19;-18.1;72;14;530.5;33.0;34;1804.1;
1988;11.3;36.0;24;-8.4;48;12;659.0;51.8;29;2030.7;
1989;11.9;34.5;9;-7.5;58;14;560.5;75.1;4;1854.1;
1990;12.0;34.6;25;-9.7;38;7;415.7;31.1;19;2014.3;
1991;10.9;37.2;20;-11.7;70;17;594.0;40.1;21;1863.0;
1992;12.3;36.5;39;-9.6;44;30;364.1;26.8;22;2093.7;
